course,grade,citz,satv,satm,acten,actma,actr,actsc,actc,hsgpa,hspercen,acadrate,reclevel,place1,place2,placetot
M121,B,USA,,,25,23,23,20,23,3.52,,4,2,10,0,10
M121,B,USA,,,25,23,33,31,28,2.91,0.958,3,2,5,7,12
M131,D,,,,22,23,21,21,22,2.86,,4,3,6,6,12
M121,C,,,,25,23,30,26,26,2.82,0.49,5,2,0,2,2
M121,B-,,,,31,23,31,27,28,3.32,,3,4,5,4,9
M121,F,,,,26,23,25,22,24,2.38,0.63,5,2,10,2,12
M151,C-,USA,,,32,22,32,26,28,2.53,0.379591837,4,2,11,7,18
M145,C-,USA,560,550,26,22,24,26,25,3,0.242424242,5,3,12,5,17
M131,C,USA,,,30,22,30,22,26,3.21,,4,2,9,4,13
M131,C,USA,,,21,22,20,25,22,2.21,,5,2,,,
M131,W,USA,,,22,22,20,19,21,2.31,,5,2,9,2,11
M121,C,USA,,,20,22,25,21,22,2.95,,5,2,,,
M121,C,USA,,,23,22,24,23,23,2.82,,5,2,5,3,8
M121,C+,USA,,,24,22,20,20,22,2.84,0.65,5,2,5,5,10
M121,W,USA,670,500,34,22,33,26,29,2.91,,4,2,2,3,5
M121,B-,USA,600,550,27,22,26,25,25,2.59,,5,2,,,
M121,B+,USA,,,22,22,24,25,23,3.74,,1,2,,,
M121,C,USA,,,21,22,14,19,19,3.2,0.76,4,2,5,2,7
M121,C-,USA,,,20,22,20,20,21,3.55,0.98,4,2,5,2,7
M121,A,USA,,,22,22,21,20,21,3.17,,4,2,5,4,9
M121,C,USA,,,25,22,26,24,24,2.72,,5,2,4,3,7
M121,F,USA,,,20,22,19,21,21,,0.9,5,1,,,
M121,B+,USA,710,560,32,22,32,24,28,4,1,1,4,8,3,11
M121,D,USA,,,23,22,31,19,24,,,5,2,,,
M121,A,USA,,,28,22,28,23,25,2.82,,4,2,4,2,6
M121,C,USA,540,560,25,22,26,26,25,3.34,0.880701754,3,2,6,3,9
M121,D+,USA,,,26,22,26,22,24,3.15,0.35625,5,2,4,5,9
M121,B-,USA,,,27,22,23,23,24,3.18,,3,2,6,6,12
M121,A+,USA,,,34,22,33,33,31,,,,2,9,5,14
M121,B-,USA,,,23,22,27,24,24,3.14,0.693083574,3,2,7,3,10
M121,C-,USA,,,33,22,34,28,29,2.88,,5,2,,,
M121,W,USA,,,17,22,23,24,22,3.23,,4,2,6,7,13
M121,W,USA,,,22,22,20,22,22,3.11,0.541237113,5,2,8,6,14
M121,C-,USA,,,20,22,19,18,20,3.34,0.706278027,4,2, , ,
M121,B+,USA,,,25,22,27,28,25,3.28,0.654,4,2,5,4,9
M121,C-,USA,,,30,22,34,34,30,1.83,0.084,6,2,9,3,12
M121,B+,USA,,,15,22,20,16,18,3.66,0.786,4,2,8,6,14
M121,C+,USA,,,18,22,23,21,21,3.31,0.817,4,2,,,
M121,C,USA,,,24,22,31,26,26,3.28,0.617,4,2,,,
M121,B+,USA,,,33,22,36,27,30,3.81,0.912,2,2,5,4,9
M121,B-,,,,25,22,24,21,23,3.19,0.61,5,2,4,1,5
M121,A,,,,24,22,20,21,20,3.71,0.94,2,3,,,
M121,A-,,,,23,22,31,23,25,3.57,0.91,4,3,6,6,12
M121,C,,,,26,22,32,24,26,2.53,,4,2,,,
M151,W,USA,,,21,21,30,26,25,3.85,0.87,3,2,6,2,8
M145,W,USA,,,25,21,30,24,25,2.69,0.353741497,5,2,6,3,9
M131,C,USA,,,21,21,20,22,21,,,,2,,,
M131,D-,USA,,,23,21,20,20,21,3.12,0.857541899,4,2,5,5,10
M121,B,USA,,,21,21,24,23,22,3.06,0.71,5,2,,,
M121,B-,USA,,,25,21,24,20,23,2.96,0.65,4,2,7,2,9
M121,A,USA,,,28,21,30,26,26,3.67,0.88,2,2,7,3,10
M121,A,USA,,,25,21,29,23,25,4,,2,4,8,4,12
M121,C,USA,,,23,21,19,19,21,3.17,0.54,4,2,,,
M121,C-,USA,,,27,21,34,26,27,2.81,0.52,4,1,,,
M121,C-,USA,,,23,21,21,24,22,2.84,0.65,5,2,,,
M121,C-,USA,,,22,21,27,23,23,2.97,0.53,4,2,2,5,7
M121,W,USA,,,24,21,20,22,21,3.45,0.87,4,2,7,3,10
M121,W,USA,,,21,21,16,19,19,3.2,0.94,4,2,6,1,7
M121,A,USA,,,32,21,34,25,28,,,,1,3,2,5
M121,W,USA,,,28,21,31,24,26,2.65,0.583333333,5,1,,,
M121,B-,USA,560,560,21,21,24,21,22,3.07,,4,2,4,4,8
M121,B+,USA,500,600,29,21,27,24,25,3.55,,3,2,5,4,9
M121,B-,USA,,,20,21,16,24,20,3.36,0.833333333,4,2,,,
M121,B-,USA,,,19,21,15,20,19,3.19,,3,2,7,7,14
M121,A,USA,,,23,21,21,21,22,3.76,0.885277247,3,2,,,
M121,D+,USA,,,23,21,21,21,22,3.46,,4,2,6,6,12
M121,B-,USA,,,20,21,20,16,19,3.28,0.560509554,4,2,9,3,12
M121,A-,USA,,,24,21,33,25,26,3.69,,3,2,5,5,10
M121,F,USA,,,21,21,23,25,23,3.13,,4,1,1,5,6
M121,B-,USA,,,24,21,25,22,23,2.97,,4,2,10,10,20
M121,B+,USA,,,26,21,27,24,24,3.47,0.972,2,2,10,5,15
M121,C+,,,,27,21,31,21,25,2.75,,4,2,,,
M121,B,,680,500,28,21,34,22,26,2.8,,4,3,5,3,8
M121,B+,,,,26,21,28,26,25,3.3,0.88,3,3,,,
M121,C-,,,,25,21,25,22,23,3.38,0.98,3,2,,,
M121,F,INT,,,24,20,29,24,24,3.03,,3,2,8,5,13
M121,C,INT,,,20,20,19,20,20,3.54,0.986956522,5,2,6,4,10
M151,B-,USA,,,20,20,21,18,20,2.33,,5,4,14,14,28
M151,D,USA,,,22,20,20,20,21,3.73,0.989795918,3,2, , ,
M131,C,USA,,,21,20,30,21,23,3.58,,3,2,,,
M121,B,USA,,,23,20,30,23,24,3.26,,4,2,4,5,9
M121,B-,USA,,,23,20,22,25,23,2.86,0.63,5,1,,,
M121,B-,USA,,,23,20,23,21,22,3.05,,5,2,10,7,17
M121,W,USA,,,24,20,27,22,23,2.2,0.52,4,1,,,
M121,C+,USA,,,23,20,23,26,23,3.1,0.76,4,1,4,5,9
M121,D+,USA,,,17,20,27,21,21,3.7,0.82,4,2,9,1,10
M121,B-,USA,,,22,20,28,23,23,2.74,,4,1,2,2,4
M121,B-,USA,,,21,20,22,19,21,3.26,0.93,3,2,,,
M121,C-,USA,,,24,20,29,24,24,,,3,2,2,3,5
M121,B,USA,,,25,20,25,25,24,3.05,,5,2,5,4,9
M121,W,USA,610,520,27,20,27,26,25,3.11,,3,2,2,0,2
M121,C-,USA,,,20,20,20,23,21,2.86,0.63,4,2,6,7,13
M121,D+,USA,,,34,20,31,21,27,2.9,0.33,5,1,5,5,10
